Lon	Lat	Region	TypeCatOld	KW_Simple	KW_Working	Name	Map
-6.06629	39.80641	Andalus	towns	cite	cite	Maḫāḍaŧ al-Balāṭ ?	cornu14
-3.62588	39.81332	Andalus	towns	cite	cite	Mantīšaŧ	cornu14
-4.05210	39.88926	Andalus	regions	district	district	Ṭulayṭilaŧ	cornu14
-4.05210	39.88926	Andalus	towns	cite	cite	Ṭulayṭilaŧ	cornu14
-6.55006	39.96270	Andalus	towns	cite	cite	Quriyaŧ	cornu14
-3.94240	39.97062	Andalus	villages	village	village	Muġān	cornu14
-4.82541	39.97062	Andalus	towns	cite	cite	Ṭalābiraŧ ?	cornu14
-6.87557	40.62317	Andalus	towns	cite	cite	al-Maʾidaŧ	cornu14
-3.15111	40.64910	Andalus	towns	cite	cite?	Wādī al-Ḥijāraŧ	cornu14
-3.15111	40.64910	Andalus	regions	district	district	Wādī al-Ḥijāraŧ	cornu14
0.60933	40.79221	Andalus	towns	cite	cite	Ṭurṭūšaŧ	cornu14
-2.41736	41.13714	Andalus	towns	cite	cite	Madīnaŧ Sālim	cornu14
-5.76776	41.44051	Andalus	towns	cite	cite	Sammūraŧ	cornu14
0.64889	41.60948	Andalus	sites	placefrontiere	placefrontiere	Lāridaŧ	cornu14
-0.92920	41.63368	Andalus	regions	district	district	Saraqūsaŧ/Saraqūsṭaŧ	cornu14
-0.92920	41.63368	Andalus	towns	cite	cite	Saraqūsaŧ/Saraqūsṭaŧ	cornu14
-0.99933	41.78270	Andalus	waters	riviere	riviere	Nahr Abruh	cornu14
0.57785	41.83632	Andalus	towns	cite	cite	al-Bayḍāʾ	cornu14
2.84472	41.93607	Andalus	towns	cite	cite	Ǧirundaŧ	cornu14
-1.62697	42.04634	Andalus	regions	district	district	Tuṭīlaŧ	cornu14
-1.62697	42.04634	Andalus	towns	cite	cite	Tuṭīlaŧ	cornu14
-0.35371	42.16109	Andalus	towns	cite	cite?	Wašqaŧ	cornu14
-0.35371	42.16109	Andalus	regions	district	district	Wašqaŧ	cornu14
-5.56634	42.61850	Andalus	towns	cite	cite	Liyūn	cornu14
3.00118	43.18643	Andalus	towns	cite	cite	Arbūnaŧ	cornu14
42.50069	33.98430	Aqur	waystations	etape	etape?	al-Ḫizānaŧ	cornu2
42.41353	33.98559	Aqur	towns	cite	cite	Ālūs/Ālūsā	cornu2
42.38707	34.10682	Aqur	towns	cite	cite	al-Ḥadīṯaŧ	cornu2
42.18317	34.23688	Aqur	villages	localite	localite	al-Fuḥaymaŧ	cornu2
41.15980	34.33397	Aqur	waystations	etape	etape	Dāziqī	cornu2
41.55670	34.39307	Aqur	towns	cite	cite	al-Nihiyyaŧ	cornu2
40.92477	34.42004	Aqur	waystations	etape	etape	Wādī al-Sibāʿ	cornu2
