geoTitle,cornuName,geoTitleOther,lat,lon,cornuRegion,geoProv,geoFinalReg,eiSearch
النحاسين,النحاسين,النحاسين,31.13962,-5.84677,Maghrib,المغرب,سجلماسة,al-Nahhasin
وليلة,وليلة,وليلة,34.09883,-5.60437,Maghrib,المغرب,طنجة,Walila
غزة,غزة,غزة,35.06747,-1.92701,Maghrib,المغرب,طنجة,Ghuzza
غزة,غزة,غزة,31.49664,34.45664,Sham,المغرب,طنجة,Ghazza
الحاجر,حجر صالح,الحجر,26.86125,37.93999,Jazirat al-Arab,المغرب,طنجة,|Hijr Salih, al-Hijr|
الحاجر,الحاجر,الحاجر,25.9691,41.75129,Jazirat al-Arab,المغرب,طنجة,al-Hajir
الحاجر,الحجر,الحجر,24.64352,46.73212,Jazirat al-Arab,المغرب,طنجة,al-Hajr
البيضاء,البيضاء,البيضاء,41.83632,0.57785,Andalus,المغرب,طنجة,al-Bayda
البيضاء,البيضاء,البيضاء/ نسا,30.03958,52.36712,Faris,المغرب,طنجة,|al-Bayda, Nasa|
البيضاء,البيضاء,البيضاء,26.79044,37.01435,Jazirat al-Arab,المغرب,طنجة,al-Bayda
مقرة,مقرة,مقرة/ مقرة,18.06095,32.46943,Egypt,المغرب,الزاب,|Maqurra, Muqurra|
مقرة,مقرة,مقرة,35.54259,5.0297,Maghrib,المغرب,الزاب,Maqqara
طبنة,طبنة,طبنة,35.32395,5.35573,Maghrib,المغرب,الزاب,Tubna
بسكرة,بسكرة,بسكرة,34.84755,5.72622,Maghrib,المغرب,الزاب,Biskara
بادس,بادس,بادس,34.76281,6.65773,Maghrib,المغرب,الزاب,Badis
تهوذا,تهوذا,تهوذا,34.79932,5.82783,Maghrib,المغرب,الزاب,Tahudha
طولقا,طولقا,طولقا,34.69495,5.38113,Maghrib,المغرب,الزاب,Tawlaqa
ميلا,ميلا,ميلا,36.42482,6.2883,Maghrib,المغرب,الزاب,Mila
بنطيوس,بنطيوس,بنطيوس,34.67928,5.60554,Maghrib,المغرب,الزاب,Bantiyus
فاس,فاس,فاس,34.06727,-5.02852,Maghrib,المغرب,فاس,Fas
البصرة,البصرة,البصرة,30.40147,47.71735,Iraq,المغرب,فاس,al-Basra
صنهاجة,صنهاجة,صنهاجة,35.29674,-5.52392,Maghrib,المغرب,فاس,Sanhaja
هوارة,هوارة,هوارة,35.55078,0.442,Maghrib,المغرب,فاس,Huwara
تيزا,تيزا,تيزا/ تازة,34.22102,-4.02927,Maghrib,المغرب,فاس,|Tiza, Taza|
مطماطة,مطماطة,مطماطة,34.11636,-4.53948,Maghrib,المغرب,فاس,Matmata
مطماطة,مطماطة,مطماطة,35.9541,1.90701,Maghrib,المغرب,فاس,Matmata
كزناية,كزناية,كزناية,34.66535,-3.92129,Maghrib,المغرب,فاس,Kazannaya
سلا,سلا,سلا,34.04753,-6.79416,Maghrib,المغرب,فاس,Sala
بلد غمار,بلد غمار,بلد غمار,35.19603,-4.70461,Maghrib,المغرب,فاس,Balad Ghumar
قلعة النسور,هجر النصر,قلعة النسور,35.22154,-3.90859,Maghrib,المغرب,فاس,|Hajar al-Nasr, Qala al-Nusur, Nakur, Nukur|
نكور,هجر النصر,نكور,35.22154,-3.90859,Maghrib,المغرب,فاس,|Hajar al-Nasr, Qala al-Nusur, Nakur, Nukur|
تابريدا,تابريدا,تابريدا,34.32074,-3.30734,Maghrib,المغرب,فاس,Tabarida
مكناسة,مكناسة,مكناسة,33.91455,-5.56626,Maghrib,المغرب,فاس,Miknasa
مكسين,ميكسين,ميكسين/ ميكسين/ ماكسين,35.74173,40.75934,Aqur,المغرب,فاس,|Mikisin, Maykisin, Makisin|
قسطيلية,قسطيلية,قسطيلية,33.88951,8.27517,Maghrib,المغرب,فاس,Qastiliya
نفزاوة,نفزاوة,نفزاوة,33.61536,9.28396,Maghrib,المغرب,فاس,Nafzawa
نقاوس,نقاوس,نقاوس,35.58177,5.70399,Maghrib,المغرب,فاس,Niqawus
بسكرة,بسكرة,بسكرة,34.84755,5.72622,Maghrib,المغرب,فاس,Biskara
قبيشة,قبيشة,قبيشة,34.83148,10.68123,Maghrib,المغرب,فاس,Qabisha
وليلة,وليلة,وليلة,34.09883,-5.60437,Maghrib,المغرب,طنجة,Walila
غزة,غزة,غزة,35.06747,-1.92701,Maghrib,المغرب,طنجة,Ghuzza
غزة,غزة,غزة,31.49664,34.45664,Sham,المغرب,طنجة,Ghazza
الحاجر,حجر صالح,الحجر,26.86125,37.93999,Jazirat al-Arab,المغرب,طنجة,|Hijr Salih, al-Hijr|
الحاجر,الحاجر,الحاجر,25.9691,41.75129,Jazirat al-Arab,المغرب,طنجة,al-Hajir
الحاجر,الحجر,الحجر,24.64352,46.73212,Jazirat al-Arab,المغرب,طنجة,al-Hajr
البيضاء,البيضاء,البيضاء,41.83632,0.57785,Andalus,المغرب,طنجة,al-Bayda
البيضاء,البيضاء,البيضاء/ نسا,30.03958,52.36712,Faris,المغرب,طنجة,|al-Bayda, Nasa|
البيضاء,البيضاء,البيضاء,26.79044,37.01435,Jazirat al-Arab,المغرب,طنجة,al-Bayda
أرجان,أراجان,أراجان,30.6103,50.29766,Faris,فارس,أرجان,Arrajan
أرجان,أرجمان,أرجمان,31.1799,52.62743,Faris,فارس,أرجان,Arjuman
أرجان,آباذة,أرجمان,31.1643,52.66127,Faris,فارس,أرجان,|Abadha, Arjuman|
قوستان,قوهستان,قوهستان,33.77051,59.44592,Khurasan,فارس,أرجان,Quhistan
داريان,داريان,داريان,29.54062,52.92548,Faris,فارس,أرجان,Dariyan
داريان,دارين,دارين,26.28437,50.19373,Jazirat al-Arab,فارس,أرجان,Darin
داريان,داريا,داريا,33.46544,36.23184,Sham,فارس,أرجان,Darayya
مهربان,مهروبان,مهروبان,30.06436,50.21436,Faris,فارس,أرجان,Mahruban
جنابة,جنابة,جنابة,29.60089,50.53898,Faris,فارس,أرجان,Jannaba
سينيز,سينيز,سينيز/ شينيز,29.92283,50.27838,Faris,فارس,أرجان,|Siniz, Shiniz|
هندوان,هندوان,هندوان/ هنديجان,30.25118,49.70675,Faris,فارس,أرجان,|Hinduwan, Hindijan|
هندوان,هندوجان,هندوجان/ هنديجان,29.39151,51.30074,Faris,فارس,أرجان,|Hindujan, Hindijan|
