id,diedAt,country,city
HA5259,548,MACROREG-SYRIA,DIMASHQ_363E335N_S_SHAM
HA5260,1084,MACROREG-ARABIA,SANA_442E153N_S_YEME
HA5260,1084,MACROREG-IRAN,ISBAHAN_516E326N_S_JIBA
HA5261,548,MACROREG-IRAN,ISBAHAN_516E326N_S_JIBA
HA5262,852,MACROREG-IRAN,ISBAHAN_516E326N_S_JIBA
HA5263,1318,MACROREG-RUM,AMID_402E379N_S_AQUR
HA5265,0,MACROREG-IRAN,ISBAHAN_516E326N_S_JIBA
HA5268,698,MACROREG-IRAN,ISBAHAN_516E326N_S_JIBA
HA5270,620,MACROREG-IRAN,ISBAHAN_516E326N_S_JIBA
HA5273,796,MACROREG-IRAN,ISBAHAN_516E326N_S_JIBA
HA5274,914,MACROREG-IRAN,ISBAHAN_516E326N_S_JIBA
HA5276,1082,MACROREG-SYRIA,DIMASHQ_363E335N_S_SHAM
HA5277,1191,MACROREG-SYRIA,DIMASHQ_363E335N_S_SHAM
HA5280,1249,MACROREG-INDIA,KANBAYA_725E223N_S_SIND
HA5281,0,MACROREG-IRAQ,BAGHDAD_443E333N_S_IRAQ
HA5283,1004,MACROREG-INDIA,KANBAYA_725E223N_S_SIND
HA5283,1004,MACROREG-IRAN,ISBAHAN_516E326N_S_JIBA
HA5285,1115,MACROREG-RUM,AMID_402E379N_S_AQUR
HA5286,1162,MACROREG-RUM,AMID_402E379N_S_AQUR
HA5287,1152,MACROREG-RUM,AMID_402E379N_S_AQUR
HA5288,1201,MACROREG-ARABIA,SANA_442E153N_S_YEME
HA5289,1202,MACROREG-RUM,AMID_402E379N_S_AQUR
HA5290,1229,MACROREG-RUM,AMID_402E379N_S_AQUR
HA5291,1142,MACROREG-RUM,AMID_402E379N_S_AQUR
HA5292,1181,MACROREG-RUM,AMID_402E379N_S_AQUR
HA5293,1222,MACROREG-SYRIA,DIMASHQ_363E335N_S_SHAM
HA5294,1284,MACROREG-MAWARANNAHR,BALAYAN_694E411N_S_TRAN
HA5294,1284,MACROREG-RUM,AMID_402E379N_S_AQUR
HA5295,1282,MACROREG-INDIA,KANBAYA_725E223N_S_SIND
HA5295,1282,MACROREG-IRAN,ISBAHAN_516E326N_S_JIBA
HA5296,1323,MACROREG-RUM,AMID_402E379N_S_AQUR
HA5297,0,MACROREG-ARABIA,SANA_442E153N_S_YEME
