id,diedAt,country,city
HA4946,1248,MACROREG-MAGHRIB,BISKARA_057E348N_S_MAGH
HA4947,1236,MACROREG-SARABIA,MADINA_396E244N_S_JAZI
HA4948,1243,MACROREG-INDIA,KANBAYA_725E223N_S_SIND
HA4949,1243,MACROREG-RUM,AMID_402E379N_S_AQUR
HA4950,1246,MACROREG-IRAN,ISBAHAN_516E326N_S_JIBA
HA4951,1250,MACROREG-INDIA,KANBAYA_725E223N_S_SIND
HA4952,1238,MACROREG-RUM,AMID_402E379N_S_AQUR
HA4953,1253,MACROREG-RUM,AMID_402E379N_S_AQUR
HA4954,1250,MACROREG-SARABIA,MADINA_396E244N_S_JAZI
HA4956,1262,MACROREG-IRAN,ISBAHAN_516E326N_S_JIBA
HA4957,1270,MACROREG-EGYPT,QAHIRA_312E300N_S_EGYP
HA4958,0,MACROREG-INDIA,KANBAYA_725E223N_S_SIND
HA4959,1282,MACROREG-EGYPT,QAHIRA_312E300N_S_EGYP
HA4962,1271,MACROREG-IRAN,ISBAHAN_516E326N_S_JIBA
HA4963,1286,MACROREG-SARABIA,MADINA_396E244N_S_JAZI
HA4964,1288,MACROREG-RUM,AMID_402E379N_S_AQUR
HA4965,1298,MACROREG-EGYPT,QAHIRA_312E300N_S_EGYP
HA4966,1298,MACROREG-EGYPT,QAHIRA_312E300N_S_EGYP
HA4966,1298,MACROREG-MAGHRIB,BISKARA_057E348N_S_MAGH
HA4966,1298,MACROREG-SYRIA,DIMASHQ_363E335N_S_SHAM
HA4967,1285,MACROREG-RUM,AMID_402E379N_S_AQUR
HA4968,1285,MACROREG-RUM,AMID_402E379N_S_AQUR
HA4969,1295,MACROREG-INDIA,KANBAYA_725E223N_S_SIND
HA4969,1295,MACROREG-IRAN,ISBAHAN_516E326N_S_JIBA
HA4970,1297,MACROREG-EGYPT,QAHIRA_312E300N_S_EGYP
HA4973,1301,MACROREG-RUM,AMID_402E379N_S_AQUR
HA4974,1305,MACROREG-RUM,AMID_402E379N_S_AQUR
HA4975,1302,MACROREG-IRAN,ISBAHAN_516E326N_S_JIBA
HA4976,1306,MACROREG-IRAN,ISBAHAN_516E326N_S_JIBA
HA4977,1307,MACROREG-MAGHRIB,BISKARA_057E348N_S_MAGH
HA4978,1307,MACROREG-MAGHRIB,BISKARA_057E348N_S_MAGH
HA4979,1311,MACROREG-EGYPT,QAHIRA_312E300N_S_EGYP
HA4981,1314,MACROREG-RUM,AMID_402E379N_S_AQUR
HA4982,1320,MACROREG-MAGHRIB,BISKARA_057E348N_S_MAGH
HA4983,1316,MACROREG-MAGHRIB,BISKARA_057E348N_S_MAGH
HA4984,1318,MACROREG-IRAN,ISBAHAN_516E326N_S_JIBA
HA4986,267,MACROREG-IRAN,ISBAHAN_516E326N_S_JIBA
