RIHA_354E318N_S_SHAM,NABULUS_352E322N_S_SHAM,48742
ZARQA_360E320N_S_SHAM,AMMAN_359E319N_S_SHAM,22288
ZARQA_360E320N_S_SHAM,ADHRIAT_360E326N_S_SHAM,67802
ADHRIAT_360E326N_S_SHAM,ZARQA_360E320N_S_SHAM,61334
NAWA_360E328N_S_SHAM,ADHRIAT_360E326N_S_SHAM,31554
JASIM_360E329N_S_SHAM,AQABAFIQ_356E327N_S_SHAM,41808
JABIYA_360E329N_S_SHAM,NAWA_360E328N_S_SHAM,5016
JASIM_360E329N_S_SHAM,JABIYA_360E329N_S_SHAM,6380
ROUTPOINT0121_362E333N_O_NODA,ADHRIAT_360E326N_S_SHAM,81803
ROUTPOINT0121_362E333N_O_NODA,JASIM_360E329N_S_SHAM,42594
DIMASHQ_363E335N_S_SHAM,SUWAYDA_365E326N_S_SHAM,97452
RUSAFA_387E356N_S_SHAM,NIHYA_373E344N_S_SHAM,188149
BUTLAMIYYA_383E355N_S_SHAM,RUSAFA_387E356N_S_SHAM,43254
QASTAL_375E350N_S_SHAM,BUTLAMIYYA_383E355N_S_SHAM,84816
SALAMIYYA_370E350N_S_SHAM,QASTAL_375E350N_S_SHAM,47117
FARAYA_369E348N_S_SHAM,SALAMIYYA_370E350N_S_SHAM,19536
HIMS_367E347N_S_SHAM,FARAYA_369E348N_S_SHAM,24577
SADAD_369E343N_S_SHAM,SALAMIYYA_370E350N_S_SHAM,78493
QARYATAN_372E342N_S_SHAM,NIHYA_373E344N_S_SHAM,28113
JARUD_367E338N_S_SHAM,QARYATAN_372E342N_S_SHAM,65632
SHAMSIN_367E345N_S_SHAM,NABK_367E340N_S_SHAM,57144
QARA_368E341N_S_SHAM,SADAD_369E343N_S_SHAM,17933
NABK_367E340N_S_SHAM,QARA_368E341N_S_SHAM,18956
QUTAYYIFA_366E337N_S_SHAM,NABK_367E340N_S_SHAM,36087
QUTAYYIFA_366E337N_S_SHAM,JARUD_367E338N_S_SHAM,14757
DIMASHQ_363E335N_S_SHAM,QUTAYYIFA_366E337N_S_SHAM,38245
KUSWA_362E333N_S_SHAM,ROUTPOINT0121_362E333N_O_NODA,3057
DIMASHQ_363E335N_S_SHAM,KUSWA_362E333N_S_SHAM,19212
ROUTPOINT0120_362E335N_O_NODA,DIMASHQ_363E335N_S_SHAM,6679
ZABADANI_360E337N_S_SHAM,ROUTPOINT0120_362E335N_O_NODA,29419
AYNJARR_359E337N_S_SHAM,ROUTPOINT0120_362E335N_O_NODA,39788
AQABARUMMAN_361E338N_S_SHAM,ZABADANI_360E337N_S_SHAM,19355
BALABAKK_361E340N_S_SHAM,AQABARUMMAN_361E338N_S_SHAM,15200
BALABAKK_361E340N_S_SHAM,AYNJARR_359E337N_S_SHAM,42675
BALABAKK_361E340N_S_SHAM,ATRABULUS_358E344N_S_SHAM,66868
LABWA_363E341N_S_SHAM,BALABAKK_361E340N_S_SHAM,24467
JUSIYA_365E344N_S_SHAM,LABWA_363E341N_S_SHAM,35926
HIMS_367E347N_S_SHAM,JUSIYA_365E344N_S_SHAM,36853
HIMS_367E347N_S_SHAM,SHAMSIN_367E345N_S_SHAM,23059
ROUTPOINT0122_359E348N_O_NODA,HIMS_367E347N_S_SHAM,89688
RASTAN_367E349N_S_SHAM,HIMS_367E347N_S_SHAM,21919
HAMA_367E351N_S_SHAM,RASTAN_367E349N_S_SHAM,21365
ATMIN_366E353N_S_SHAM,HAMA_367E351N_S_SHAM,17921
KAFARTAB_366E355N_S_SHAM,SHAYZAR_365E352N_S_SHAM,28741
MAARRANUMAN_366E356N_S_SHAM,ATMIN_366E353N_S_SHAM,38110
MAARRANUMAN_366E356N_S_SHAM,KAFARTAB_366E355N_S_SHAM,16624
QINNASRIN_370E359N_S_SHAM,MAARRANUMAN_366E356N_S_SHAM,48091
QINNASRIN_370E359N_S_SHAM,MAARRANUMAN_366E356N_S_SHAM,51068
BALIS_380E360N_S_SHAM,HALAB_371E361N_S_SHAM,87336
JISRMANBIJ_382E366N_S_AQUR,DAWSAR_384E359N_S_SHAM,97482
SHAYZAR_365E352N_S_SHAM,HAMA_367E351N_S_SHAM,24738
FAMIYYA_364E354N_S_SHAM,SHAYZAR_365E352N_S_SHAM,24307
ANTAKIYYA_361E361N_S_SHAM,FAMIYYA_364E354N_S_SHAM,93880
TIZIN_367E362N_S_SHAM,ANTAKIYYA_361E361N_S_SHAM,49174
ATHARIB_368E361N_S_SHAM,TIZIN_367E362N_S_SHAM,16157
HALAB_371E361N_S_SHAM,QINNASRIN_370E359N_S_SHAM,28156
HALAB_371E361N_S_SHAM,ATHARIB_368E361N_S_SHAM,32191
MANBIJ_379E365N_S_AQUR,HALAB_371E361N_S_SHAM,81800
QURUS_369E367N_S_SHAM,MANBIJ_379E365N_S_AQUR,96612
ROUTPOINT0119_362E363N_O_NODA,QURUS_369E367N_S_SHAM,78900
ADHANA_353E369N_S_SHAM,TARSUS_349E369N_S_SHAM,37381
MISSISA_356E369N_S_SHAM,ADHANA_353E369N_S_SHAM,29842
BAYYAS_362E367N_S_SHAM,TINAT_361E368N_S_SHAM,15444
ISKANDARUNA_361E365N_S_SHAM,BAYYAS_362E367N_S_SHAM,23071
ROUTPOINT0119_362E363N_O_NODA,ISKANDARUNA_361E365N_S_SHAM,24455
ANTAKIYYA_361E361N_S_SHAM,ROUTPOINT0119_362E363N_O_NODA,19787
SUWAYDIYYA_359E360N_S_SHAM,ANTAKIYYA_361E361N_S_SHAM,22260
LADHIQIYYA_358E355N_S_SHAM,SUWAYDIYYA_359E360N_S_SHAM,69982
LADHIQIYYA_358E355N_S_SHAM,LADHIQIYYA_358E355N_S_SHAM,1687
JABALA_359E353N_S_SHAM,LADHIQIYYA_358E355N_S_SHAM,22625
BULUNYAS_359E351N_S_SHAM,JABALA_359E353N_S_SHAM,20542
MARAQIYYA_359E350N_S_SHAM,BULUNYAS_359E351N_S_SHAM,15963
ANTARTUS_359E348N_S_SHAM,MARAQIYYA_359E350N_S_SHAM,16676
ATRABULUS_358E344N_S_SHAM,ROUTPOINT0122_359E348N_O_NODA,56328
ANAFA_357E343N_S_SHAM,ATRABULUS_358E344N_S_SHAM,14259
BATHRUN_356E342N_S_SHAM,ANAFA_357E343N_S_SHAM,14143
JUBAYL_356E341N_S_SHAM,BATHRUN_356E342N_S_SHAM,15615
JUNIYYA_356E339N_S_SHAM,JUBAYL_356E341N_S_SHAM,16854
ROUTPOINT0118_355E339N_O_NODA,JUNIYYA_356E339N_S_SHAM,11446
AYNJARR_359E337N_S_SHAM,QARUN_357E335N_S_SHAM,26386
ARJAMUSH_358E338N_S_SHAM,AYNJARR_359E337N_S_SHAM,15717
ROUTPOINT0118_355E339N_O_NODA,ARJAMUSH_358E338N_S_SHAM,40088
BAYRUT_355E339N_S_SHAM,ROUTPOINT0118_355E339N_O_NODA,4202
