HA0001        0220        MACROREG-IRAN

HA0001        0220        MACROREG-IRAQ

HA0001        0220        MACROREG-MAWARANNAHR

HA0001        0220        MACROREG-SYRIA

HA0002        1053        MACROREG-ARABIA

HA0002        1053        MACROREG-INDIA

HA0003        0141        MACROREG-IRAQ

HA0004        0220        MACROREG-IRAQ

HA0006        0163        MACROREG-ARABIA

HA0006        0163        MACROREG-IRAN

HA0007        0188        MACROREG-IRAQ

HA0008        0211        MACROREG-MAWARANNAHR

HA0009        0224        MACROREG-IRAN

HA0009        0224        MACROREG-IRAQ

HA0010        0225        MACROREG-IRAQ

HA0011        0243        MACROREG-IRAQ

HA0013        0246        MACROREG-IRAQ

HA0014        0247        MACROREG-IRAQ

HA0015        0249        MACROREG-ANDALUS

HA0016        0250        MACROREG-IRAQ

HA0017        0259        MACROREG-SYRIA

HA0018        0266        MACROREG-IRAN

HA0020        0000        MACROREG-IRAQ

HA0021        0280        MACROREG-IRAN

HA0022        0283        MACROREG-IRAQ

HA0023        0282        MACROREG-SYRIA

HA0024        0285        MACROREG-IRAQ

HA0025        0292        MACROREG-IRAQ

HA0026        0294        MACROREG-MAWARANNAHR

HA0027        0298        MACROREG-IRAN

HA0027        0298        MACROREG-IRAQ

HA0029        0301        MACROREG-IRAN

HA0030        0303        MACROREG-IRAN

HA0031        0311        MACROREG-IRAQ

HA0032        0322        MACROREG-IRAQ

HA0033        0295        MACROREG-IRAQ

HA0034        0320        MACROREG-IRAQ

HA0035        0323        MACROREG-IRAQ

HA0036        0335        MACROREG-IRAQ

HA0037        0330        MACROREG-IRAQ

HA0038        0340        MACROREG-IRAN

HA0038        0340        MACROREG-MAWARANNAHR

HA0039        0340        MACROREG-EGYPT

HA0039        0340        MACROREG-MAWARANNAHR

HA0041        0351        MACROREG-IRAQ

HA0042        0353        MACROREG-IRAN

HA0043        0370        MACROREG-EGYPT

HA0044        0376        MACROREG-IRAN

HA0045        0384        MACROREG-IRAQ

HA0046        0385        MACROREG-IRAN

HA0047        0391        MACROREG-IRAN

HA0047        0391        MACROREG-IRAQ

HA0048        0400        MACROREG-IRAN

HA0048        0400        MACROREG-MAWARANNAHR

HA0049        0350        MACROREG-IRAQ

HA0050        0360        MACROREG-IRAQ

HA0051        0383        MACROREG-MAGHRIB

HA0052        0400        MACROREG-SYRIA

HA0053        0402        MACROREG-ANDALUS

HA0054        0418        MACROREG-IRAN

HA0054        0418        MACROREG-IRAQ

HA0055        0425        MACROREG-SARABIA

HA0056        0441        MACROREG-ANDALUS

HA0057        0453        MACROREG-MAGHRIB

HA0058        0459        MACROREG-IRAN

HA0059        0476        MACROREG-IRAN

HA0059        0476        MACROREG-IRAQ

HA0060        0443        MACROREG-MAGHRIB

HA0061        0482        MACROREG-EGYPT

HA0062        0518        MACROREG-SYRIA

HA0063        0523        MACROREG-ARABIA

HA0063        0523        MACROREG-IRAN

HA0064        0524        MACROREG-MAWARANNAHR

HA0065        0533        MACROREG-ANDALUS

HA0066        0534        MACROREG-MAWARANNAHR

HA0067        0569        MACROREG-ANDALUS

HA0068        0519        MACROREG-IRAN

HA0069        0556        MACROREG-IRAQ

HA0070        0584        MACROREG-ANDALUS

HA0070        0584        MACROREG-SARABIA

HA0071        0595        MACROREG-MAWARANNAHR

HA0072        0596        MACROREG-EGYPT

HA0072        0596        MACROREG-IRAQ

HA0074        0577        MACROREG-IRAQ

HA0075        0600        MACROREG-MAGHRIB

HA0076        0595        MACROREG-SARABIA

HA0078        0618        MACROREG-EGYPT

HA0078        0618        MACROREG-IRAN

HA0078        0618        MACROREG-MAGHRIB

HA0079        0628        MACROREG-IRAQ

HA0080        0642        MACROREG-SYRIA

HA0081        0646        MACROREG-SARABIA

HA0083        0649        MACROREG-ANDALUS

HA0084        0625        MACROREG-IRAN

HA0085        0635        MACROREG-ANDALUS

HA0088        0667        MACROREG-SARABIA

HA0089        0669        MACROREG-SYRIA

HA0090        0671        MACROREG-SYRIA

HA0091        0680        MACROREG-IRAQ

HA0091        0680        MACROREG-SYRIA

HA0092        0684        MACROREG-EGYPT

HA0094        0690        MACROREG-SYRIA

HA0095        0692        MACROREG-IRAQ

