arBW,source,arTitle,lat,eiSearch,lon,region,translitTitleOther,topURI,searchNames,topTypeAlt,topType,translitTitle,arTitleOther,UStranslitTitle
lywn,Andalus,ليون,42.6185,Liyun,-5.56634,Andalus,Liyūn,LIYUN_055W426N_S_ANDA,Liyun,cite,towns,Liyūn,ليون,Liyūn
fryE، qrsys,Andalus,فريش,37.95728,Firrish-Qarsis,-5.58702,Andalus,Firrīš-Qarsīs,FIRRISH_055W379N_R_ANDA,Firrish-Qarsis,region,regions,Firrīš,فريش، قرسيس,Firrīš
qrmwno,Andalus,قرمونة,37.42933,Qarmuna,-5.64097,Andalus,Qarmūnaŧ,QARMUNA_056W374N_S_ANDA,Qarmuna,cite,towns,Qarmūnaŧ,قرمونة,Qarmūnaŧ
smwro,Andalus,سمورة,41.44051,Sammura,-5.76776,Andalus,Sammūraŧ,SAMMURA_057W414N_S_ANDA,Sammura,cite,towns,Sammūraŧ,سمورة,Sammūraŧ
EVwno، Edwno,Andalus,شذونة,36.4664,Shadhuna-Shaduna,-5.91433,Andalus,Šaḏūnaŧ-Šadūnaŧ,SHADHUNA_059W364N_R_ANDA,Shadhuna-Shaduna,district,regions,Šaḏūnaŧ,شذونة، شدونة,Šaḏūnaŧ
EVwno، Edwno,Andalus,شذونة,36.4664,Shadhuna-Shaduna,-5.91433,Andalus,Šaḏūnaŧ-Šadūnaŧ,SHADHUNA_059W364N_S_ANDA,Shadhuna-Shaduna,cite,towns,Šaḏūnaŧ,شذونة، شدونة,Šaḏūnaŧ
trjylo,Andalus,ترجيلة,39.48654,Tarajila,-5.93861,Andalus,Taraǧīlaŧ,TARAJILA_059W394N_S_ANDA,Tarajila,cite,towns,Taraǧīlaŧ,ترجيلة,Taraǧīlaŧ
mdlyn,Andalus,مدلين,38.93229,Madallin,-5.94131,Andalus,Madallīn,MADALLIN_059W389N_S_ANDA,Madallin,cite,towns,Madallīn,مدلين,Madallīn
AEbylyo,Andalus,إشبيلية,37.4079,Ishbiliyya,-5.96199,Andalus,Išbīliyyaŧ,ISHBILIYYA_059W374N_R_ANDA,Ishbiliyya,district,regions,Išbīliyyaŧ,إشبيلية,Išbīliyyaŧ
AEbylyo,Andalus,إشبيلية,37.4079,Ishbiliyya,-5.96199,Andalus,Išbīliyyaŧ,ISHBILIYYA_059W374N_S_ANDA,Ishbiliyya,cite,towns,Išbīliyyaŧ,إشبيلية,Išbīliyyaŧ
