CR0056_from371e361n_to370e359n	HALAB_371N361E_C01	QINNASRIN_370N359E_C01	28156
CR0057_from371e361n_to368e361n	HALAB_371N361E_C01	ATHARIB_368N361E_C01	32191
CR0058_from379e365n_to371e361n	MANBIJ_379N365E_C02	HALAB_371N361E_C01	81800
CR0059_from369e367n_to379e365n	QURUS_369N367E_C01	MANBIJ_379N365E_C02	96612
CR0060_from362e363n_to366e369n	ROUTPOINT_362N363E_C01	QURUS_369N367E_C01	78900
CR0061_from353e369n_to349e369n	ADHANA_353N369E_C01	TARSUS_349N369E_C01	37381
CR0062_from356e369n_to353e369n	MISSISA_356N369E_C01	ADHANA_353N369E_C01	29842
CR0063_from362e367n_to361e368n	BAYYAS_362N367E_C01	TINAT_361N368E_C01	15444
CR0064_from361e365n_to362e367n	ISKANDARUNA_361N365E_C01	BAYYAS_362N367E_C01	23071
CR0065_from362e363n_to361e365n	ROUTPOINT_362N363E_C01	ISKANDARUNA_361N365E_C01	24455
CR0066_from361e361n_to362e363n	ANTAKIYYA_361N361E_C01	ROUTPOINT_362N363E_C01	19787
CR0067_from359e360n_to361e361n	SUWAYDIYYA_359N360E_C01	ANTAKIYYA_361N361E_C01	22260
CR0068_from358e355n_to359e360n	LADHIQIYYA_358N355E_C01	SUWAYDIYYA_359N360E_C01	69982
CR0069_from358e355n_to357e355n	LADHIQIYYA_358N355E_C01	LADHIQIYYA_358N355E_C01	1687
CR0070_from359e353n_to358e355n	JABALA_359N353E_C01	LADHIQIYYA_358N355E_C01	22625
CR0071_from359e351n_to359e353n	BULUNYAS_359N351E_C01	JABALA_359N353E_C01	20542
CR0072_from359e350n_to359e351n	MARAQIYYA_359N350E_C01	BULUNYAS_359N351E_C01	15963
CR0073_from359e348n_to359e350n	ANTARTUS_359N348E_C01	MARAQIYYA_359N350E_C01	16676
CR0074_from358e344n_to359e348n	ATRABULUS_358N344E_C01	ROUTPOINT_359N348E_C01	56328
CR0075_from357e343n_to358e344n	ANAFA_357N343E_C01	ATRABULUS_358N344E_C01	14259
CR0076_from356e342n_to357e343n	BATHRUN_356N342E_C01	ANAFA_357N343E_C01	14143
CR0077_from356e341n_to356e342n	JUBAYL_356N341E_C01	BATHRUN_356N342E_C01	15615
CR0078_from356e339n_to356e341n	JUNIYYA_356N339E_C01	JUBAYL_356N341E_C01	16854
CR0079_from355e339n_to356e339n	ROUTPOINT_355N339E_C01	JUNIYYA_356N339E_C01	11446
CR0080_from359e337n_to357e335n	AYNJARR_359N337E_C01	QARUN_357N335E_C01	26386
CR0081_from358e338n_to359e337n	ARJAMUSH_358N338E_C01	AYNJARR_359N337E_C01	15717
CR0082_from355e339n_to358e338n	ROUTPOINT_355N339E_C01	ARJAMUSH_358N338E_C01	40088
CR0083_from355e339n_to355e339n	BAYRUT_355N339E_C01	ROUTPOINT_355N339E_C01	4202
CR0084_from354e337n_to355e339n	NAIMA_354N337E_C01	BAYRUT_355N339E_C01	14565
CR0085_from353e335n_to354e337n	SAYDA_353N335E_C01	NAIMA_354N337E_C01	25081
CR0086_from353e335n_to357e335n	SAYDA_353N335E_C01	QARUN_357N335E_C01	45163
CR0087_from355e333n_to357e335n	QARYAUYUN_355N333E_C01	QARUN_357N335E_C01	27531
CR0088_from352e334n_to353e335n	SARAFANDA_352N334E_C01	SAYDA_353N335E_C01	15102
CR0089_from352e333n_to352e334n	ADHNUN_352N333E_C01	SARAFANDA_352N334E_C01	7015
CR0090_from355e332n_to355e333n	ROUTPOINT_355N332E_C01	QARYAUYUN_355N333E_C01	15767
CR0091_from352e332n_to352e333n	SUR_352N332E_C01	ADHNUN_352N333E_C01	15049
CR0092_from354e332n_to355e332n	MAJDALSALIM_354N332E_C01	ROUTPOINT_355N332E_C01	11559
CR0093_from356e332n_to355e332n	BANIYAS_356N332E_C01	ROUTPOINT_355N332E_C01	11718
CR0094_from354e331n_to355e332n	QADAS_354N331E_C01	ROUTPOINT_355N332E_C01	14058
CR0095_from355e329n_to355e332n	JUBBYUSUF_355N329E_C01	ROUTPOINT_355N332E_C01	34039
CR0096_from354e330n_to355e329n	JASHSH_354N330E_C01	JUBBYUSUF_355N329E_C01	14015
CR0097_from354e331n_to354e330n	ROUTPOINT_354N331E_C01	JASHSH_354N330E_C01	10026
CR0098_from354e331n_to354e331n	ROUTPOINT_354N331E_C01	QADAS_354N331E_C01	5132
CR0099_from352e332n_to354e332n	SUR_352N332E_C01	MAJDALSALIM_354N332E_C01	23480
CR0100_from352e332n_to354e331n	SUR_352N332E_C01	ROUTPOINT_354N331E_C01	28007
CR0101_from350e329n_to352e332n	AKKA_350N329E_C01	SUR_352N332E_C01	41219
CR0102_from355e327n_to355e329n	TABARIYYA_355N327E_C01	JUBBYUSUF_355N329E_C01	17413
CR0103_from352e328n_to355e327n	KABUL_352N328E_C01	TABARIYYA_355N327E_C01	29917
CR0104_from350e329n_to352e328n	AKKA_350N329E_C01	KABUL_352N328E_C01	15039
CR0105_from352e326n_to350e329n	LAJJUN_352N326E_C01	AKKA_350N329E_C01	40303
CR0106_from349e327n_to350e329n	KANISA_349N327E_C01	AKKA_350N329E_C01	25359
CR0107_from348e324n_to349e327n	QAYSARIYYA_348N324E_C01	KANISA_349N327E_C01	28876
CR0108_from352e326n_to355e327n	LAJJUN_352N326E_C01	TABARIYYA_355N327E_C01	30012
CR0109_from355e326n_to356e327n	ROUTPOINT_355N326E_C01	AQABAFIQ_356N327E_C01	16084
CR0110_from355e327n_to355e326n	TABARIYYA_355N327E_C01	ROUTPOINT_355N326E_C01	9474
CR0111_from354e325n_to355e326n	BAYSAN_354N325E_C01	ROUTPOINT_355N326E_C01	23063
CR0112_from353e323n_to354e325n	TAASIR_353N323E_C01	BAYSAN_354N325E_C01	20915
CR0113_from352e322n_to353e323n	NABULUS_352N322E_C01	TAASIR_353N323E_C01	19764
CR0114_from352e326n_to354e324n	LAJJUN_352N326E_C01	BAYSAN_354N325E_C01	24977
CR0115_from349e322n_to352e326n	QALANSUWA_349N322E_C01	LAJJUN_352N326E_C01	44562
CR0116_from352e322n_to351e319n	NABULUS_352N322E_C01	ROUTPOINT_351N319E_C01	38952
CR0117_from348e319n_to352e322n	LUDD_348N319E_C01	NABULUS_352N322E_C01	48054
CR0118_from348e321n_to348e324n	KAFARSABA_348N321E_C01	QAYSARIYYA_348N324E_C01	35684
CR0119_from348e321n_to348e324n	ARSUF_348N321E_C01	QAYSARIYYA_348N324E_C01	34174
CR0120_from348e319n_to349e322n	LUDD_348N319E_C01	QALANSUWA_349N322E_C01	38883
CR0121_from348e321n_to349e322n	KAFARSABA_348N321E_C01	QALANSUWA_349N322E_C01	16095
CR0122_from348e319n_to348e321n	LUDD_348N319E_C01	KAFARSABA_348N321E_C01	24907
CR0123_from348e319n_to348e321n	RAMLA_348N319E_C01	ARSUF_348N321E_C01	30543
CR0124_from356e318n_to359e319n	BAYTRAM_356N318E_C01	AMMAN_359N319E_C01	34448
CR0125_from355e317n_to356e318n	ROUTPOINT_355N317E_C01	BAYTRAM_356N318E_C01	7557
CR0126_from355e317n_to354e318n	ROUTPOINT_355N317E_C01	RIHA_354N318E_C01	10321
CR0127_from353e318n_to354e318n	ROUTPOINT_353N318E_C01	RIHA_354N318E_C01	5431
CR0128_from354e318n_to354e318n	ROUTPOINT_354N318E_C01	RIHA_354N318E_C01	6119
CR0129_from354e318n_to355e317n	ROUTPOINT_354N318E_C01	ROUTPOINT_355N317E_C01	8938
CR0130_from353e318n_to354e318n	ROUTPOINT_353N318E_C01	ROUTPOINT_354N318E_C01	6917
CR0131_from353e318n_to353e318n	ROUTPOINT_353N318E_C01	ROUTPOINT_353N318E_C01	1833
CR0132_from351e319n_to353e318n	ROUTPOINT_351N319E_C01	ROUTPOINT_353N318E_C01	20708
CR0133_from352e317n_to353e318n	BAYTMAQDIS_352N317E_C01	ROUTPOINT_353N318E_C01	18021
CR0134_from352e317n_to351e317n	BAYTMAQDIS_352N317E_C01	BAYTLAHM_351N317E_C01	7897
CR0135_from351e319n_to352e317n	ROUTPOINT_351N319E_C01	BAYTMAQDIS_352N317E_C01	14573
CR0136_from348e319n_to351e319n	RAMLA_348N319E_C01	ROUTPOINT_351N319E_C01	31582
CR0137_from348e319n_to348e319n	RAMLA_348N319E_C01	LUDD_348N319E_C01	4003
CR0138_from347e320n_to348e319n	YAFA_347N320E_C01	RAMLA_348N319E_C01	18768
CR0139_from346e318n_to347e320n	ROUTPOINT_346N318E_C01	YAFA_347N320E_C01	20734
CR0140_from346e318n_to348e319n	ROUTPOINT_346N318E_C01	RAMLA_348N319E_C01	16444
CR0141_from347e318n_to348e319n	YUBNA_347N318E_C01	RAMLA_348N319E_C01	13598
CR0142_from346e318n_to347e318n	ROUTPOINT_346N318E_C01	YUBNA_347N318E_C01	6968
CR0143_from346e318n_to346e318n	ROUTPOINT_346N318E_C01	ROUTPOINT_346N318E_C01	5732
CR0144_from346e318n_to346e318n	MAHUZYUBNA_346N318E_C01	ROUTPOINT_346N318E_C01	2890
CR0145_from346e318n_to346e318n	MAHUZAZDUD_346N318E_C01	MAHUZYUBNA_346N318E_C01	7789
CR0146_from346e318n_to346e318n	MAHUZAZDUD_346N318E_C01	ROUTPOINT_346N318E_C01	4489
CR0147_from346e317n_to346e318n	AZDUD_346N317E_C01	ROUTPOINT_346N318E_C01	4034
CR0148_from350e316n_to348e319n	ROUTPOINT_350N316E_C01	RAMLA_348N319E_C01	33074
CR0149_from345e315n_to348e319n	ROUTPOINT_345N315E_C01	RAMLA_348N319E_C01	49879
CR0150_from345e316n_to346e317n	ASQALAN_345N316E_C01	AZDUD_346N317E_C01	18587
CR0151_from345e316n_to346e317n	ROUTPOINT_345N316E_C01	AZDUD_346N317E_C01	22023
CR0152_from345e316n_to345e316n	ROUTPOINT_345N316E_C01	ASQALAN_345N316E_C01	5010
CR0153_from342e313n_to345e315n	RAFH_342N313E_C01	ROUTPOINT_345N315E_C01	41488
CR0154_from342e313n_to344e314n	RAFH_342N313E_C01	GHAZZA_344N314E_C01	28438
CR0155_from338e311n_to342e313n	ARISH_338N311E_C01	RAFH_342N313E_C01	47834
CR0156_from345e316n_to344e314n	ROUTPOINT_345N316E_C01	GHAZZA_344N314E_C01	18311
CR0157_from345e315n_to344e314n	ROUTPOINT_345N315E_C01	GHAZZA_344N314E_C01	14150
CR0158_from346e315n_to345e315n	SUKKARIYYA_346N315E_C01	ROUTPOINT_345N315E_C01	6226
CR0159_from348e316n_to346e315n	BAYTJIBRIL_348N316E_C01	SUKKARIYYA_346N315E_C01	22403
CR0160_from351e316n_to351e317n	ROUTPOINT_351N316E_C01	BAYTLAHM_351N317E_C01	6970
CR0161_from350e316n_to348e316n	ROUTPOINT_350N316E_C01	BAYTJIBRIL_348N316E_C01	14298
CR0162_from350e316n_to351e316n	ROUTPOINT_350N316E_C01	ROUTPOINT_351N316E_C01	11988
CR0163_from350e315n_to350e316n	ROUTPOINT_350N315E_C01	ROUTPOINT_350N316E_C01	11722
CR0164_from350e315n_to351e316n	ROUTPOINT_350N315E_C01	ROUTPOINT_351N316E_C01	13651
