cornu1	33.45826	35.81024	جبل سنير	Ǧabal Sanīr	Jabal Sanīr	Jabal Sanir	regions	JABALSANIR_358N334E_C01	jbl snyr
cornu1	35.36567	35.95309	جبلة	Ǧabalaŧ	Jabala	Jabala	towns	JABALA_359N353E_C01	jblo
cornu1	33.81588	36.74014	جرود	Ǧarūd	Jarūd	Jarud	waystations	JARUD_367N338E_C01	jrwd
cornu1	36.81562	38.00577	جربلص	Ǧarabuluṣ	Jarabuluṣ	Jarabulus	towns	JARABULUS_380N368E_C01	jrblS
cornu1	34.12764	35.65206	جبيل	Ǧubayl	Jubayl	Jubayl	towns	JUBAYL_356N341E_C01	jbyl
cornu1	33.98398	35.61897	جنية	Ǧuniyyaŧ	Juniyya	Juniyya	towns	JUNIYYA_356N339E_C01	jnyo
cornu1	34.53863	36.74279	شمسين	Šamsīn	Shamsīn	Shamsin	waystations	SHAMSIN_367N345E_C01	Emsyn
cornu1	35.25585	36.55938	شيزر	Šayzar	Shayzar	Shayzar	towns	SHAYZAR_365N352E_C01	Eyzr
cornu1	36.08630	37.69991	خشاف	Ḫušāf	Khushāf	Khushaf	towns	KHUSHAF_376N360E_C01	xEAf
cornu1	34.44044	35.85194	أطرابلس|طرابلس	Aṭrābulus/Ṭarābulus	Aṭrābulus/Ṭarābulus	Atrabulus/Tarabulus	towns	ATRABULUS_358N344E_C01	ATrAbls|TrAbls
cornu1	36.96023	35.34272	أذنة	Aḏanaŧ	Adhana	Adhana	sites	ADHANA_353N369E_C01	AVno
cornu1	30.33962	35.75502	أذروح	Aḏrūḥ	Adhrūḥ	Adhruh	capitals	ADHRUH_357N303E_C01	AVrwH
cornu1	32.61046	36.09087	أذرعات	Aḏriʿāt	Adhriʿāt	Adhriat	capitals	ADHRIAT_360N326E_C01	AVrCAt
cornu1	31.12453	33.80807	العريش	al-ʿArīš	al-ʿArīsh	al-Arish	towns	ARISH_338N311E_C01	AlCryE
cornu1	33.50849	36.44363	الغوطة	al-Ġūṭaŧ	al-Ghūṭa	al-Ghuta	regions	GHUTA_364N335E_C01	AlgwTo
cornu1	31.86882	35.48149	الغور	al-Ġawr	al-Ghawr	al-Ghawr	sites	GHAWR_354N318E_C01	Algwr
cornu1	32.65059	36.73153	الحوران	al-Ḥawrān	al-Ḥawrān	al-Hawran	regions	HAWRAN_367N326E_C01	AlHwrAn
cornu1	32.97543	35.63816	الحلة	al-Ḥulaŧ	al-Ḥula	al-Hula	regions	HULA_356N329E_C01	AlHlo
cornu1	33.09084	35.79833	الجولان	al-Ǧawlān	al-Jawlān	al-Jawlan	regions	JAWLAN_357N330E_C01	AljwlAn
cornu1	30.59382	35.77450	الشرات	al-Šarāt	al-Sharāt	al-Sharat	regions	SHARAT_357N305E_C01	AlErAt
cornu1	35.78031	37.50551	الخناصرة	al-Ḫunāṣiraŧ	al-Khunāṣira	al-Khunasira	towns	KHUNASIRA_375N357E_C01	AlxnASro
cornu1	35.31245	36.62191	الأطمين|اللطمين	al-Aṭmīn/al-Laṭmīn	al-Aṭmīn/al-Laṭmīn	al-Atmin/al-Latmin	villages	ATMIN_366N353E_C01	AlATmyn|AllTmyn
cornu1	36.13792	36.83533	الأثارب	al-Aṯārib	al-Athārib	al-Atharib	waystations	ATHARIB_368N361E_C01	AlAvArb
cornu1	35.68430	36.54442	البارة	al-Bāraŧ ?	al-Bāra ?	al-Bara	villages	BARA_365N356E_C01	AlbAro
cornu1	32.72189	36.15837	البثنية	al-Baṯaniyyaŧ	al-Bathaniyya	al-Bathaniyya	regions	BATHANIYYA_361N327E_C01	Albvnyo
cornu1	32.08487	35.96379	البلقاء	al-Balqāʾ	al-Balqāʾ	al-Balqa	regions	BALQA_359N320E_C01	AlblqAc
cornu1	33.83512	35.92143	البقاع	al-Biqāʿ	al-Biqāʿ	al-Biqa	regions	BIQA_359N338E_C01	AlbqAC
cornu1	35.52404	38.31435	البطلامية|الخربة	al-Buṭlāmiyyaŧ/al-Ḫirbaŧ ?	al-Buṭlāmiyyat/al-Khirba ?	al-Butlamiyya/al-Khirba	waystations	BUTLAMIYYA_383N355E_C01	AlbTlAmyo|Alxrbo
cornu1	33.64139	36.02468	الفيجة	al-Fīǧaŧ	al-Fīja	al-Fija	waters	FIJA_360N336E_C01	Alfyjo
cornu1	32.92323	36.04321	الجابية	al-Ǧābiyaŧ	al-Jābiya	al-Jabiya	villages	JABIYA_360N329E_C01	AljAbyo
cornu1	33.03094	35.45020	الجش	al-Ǧašš	al-Jashsh	al-Jashsh	villages	JASHSH_354N330E_C01	AljE
