Iraq055_from445e334n_to447e336n	NAHRAWAN_445N334E_C03	DAYRBAZAMA_447N336E_C03	22166
Iraq056_from443e333n_to445e334n	BAGHDAD_443N333E_C03	NAHRAWAN_445N334E_C03	23974
Iraq057_from428e336n_to426e337n	HIT_428N336E_C03	NAWUSA_426N338E_C03	20359
Iraq058_from432e334n_to428e336n	RABB_432N334E_C03	HIT_428N336E_C03	51101
Iraq059_from437e333n_to432e334n	ANBAR_437N333E_C03	RABB_432N334E_C03	43212
Iraq060_from440e334n_to437e333n	SAYLAHIN_440N334E_C03	ANBAR_437N333E_C03	34158
Iraq061_from443e333n_to440e334n	BAGHDAD_443N333E_C03	SAYLAHIN_440N334E_C03	28066
Iraq062_from443e335n_to443e333n	BARADAN_443N335E_C03	BAGHDAD_443N333E_C03	17210
Iraq063_from442e338n_to443e335n	UKBARA_442N338E_C03	BARADAN_443N335E_C03	43214
Iraq064_from441e339n_to442e338n	HARBA_441N339E_C03	UKBARA_442N338E_C03	11999
Iraq065_from440e340n_to441e339n	ALTH_440N340E_C03	HARBA_441N339E_C03	12197
Iraq066_from439e340n_to440e340n	QADISIYYA_439N340E_C03	ALTH_440N340E_C03	12833
Iraq067_from438e342n_to439e340n	SAMARRA_438N342E_C03	QADISIYYA_439N340E_C03	16131
Iraq068_from476e321n_to482e321n	QURQUB_476N321E_C03	SUS_482N321E_C05	56497
Iraq069_from473e322n_to476e321n	TIB_473N322E_C03	QURQUB_476N321E_C03	35866
Iraq070_from467e321n_to473e322n	SIKR_467N321E_C03	TIB_473N322E_C03	50423
