geoTitle,cornuName,geoTitleOther,lat,lon,cornuRegion,geoProv,geoFinalReg
بسكرة,بسكرة,بسكرة,34.84755,5.72622,Maghrib,المغرب,الزاب
بادس,بادس,بادس,34.76281,6.65773,Maghrib,المغرب,الزاب
تهوذا,تهوذا,تهوذا,34.79932,5.82783,Maghrib,المغرب,الزاب
طولقا,طولقا,طولقا,34.69495,5.38113,Maghrib,المغرب,الزاب
ميلا,ميلا,ميلا,36.42482,6.2883,Maghrib,المغرب,الزاب
بنطيوس,بنطيوس,بنطيوس,34.67928,5.60554,Maghrib,المغرب,الزاب
فاس,فاس,فاس,34.06727,-5.02852,Maghrib,المغرب,فاس
البصرة,البصرة,البصرة,30.40147,47.71735,Iraq,المغرب,فاس
صنهاجة,صنهاجة,صنهاجة,35.29674,-5.52392,Maghrib,المغرب,فاس
هوارة,هوارة,هوارة,35.55078,0.442,Maghrib,المغرب,فاس
تيزا,تيزا,تيزا/ تازة,34.22102,-4.02927,Maghrib,المغرب,فاس
مطماطة,مطماطة,مطماطة,34.11636,-4.53948,Maghrib,المغرب,فاس
مطماطة,مطماطة,مطماطة,35.9541,1.90701,Maghrib,المغرب,فاس
كزناية,كزناية,كزناية,34.66535,-3.92129,Maghrib,المغرب,فاس
سلا,سلا,سلا,34.04753,-6.79416,Maghrib,المغرب,فاس
بلد غمار,بلد غمار,بلد غمار,35.19603,-4.70461,Maghrib,المغرب,فاس
قلعة النسور,هجر النصر,قلعة النسور,35.22154,-3.90859,Maghrib,المغرب,فاس
نكور,هجر النصر,نكور,35.22154,-3.90859,Maghrib,المغرب,فاس
تابريدا,تابريدا,تابريدا,34.32074,-3.30734,Maghrib,المغرب,فاس
مكناسة,مكناسة,مكناسة,33.91455,-5.56626,Maghrib,المغرب,فاس
مكسين,ميكسين,ميكسين/ ميكسين/ ماكسين,35.74173,40.75934,Aqur,المغرب,فاس
قسطيلية,قسطيلية,قسطيلية,33.88951,8.27517,Maghrib,المغرب,فاس
نفزاوة,نفزاوة,نفزاوة,33.61536,9.28396,Maghrib,المغرب,فاس
نقاوس,نقاوس,نقاوس,35.58177,5.70399,Maghrib,المغرب,فاس
بسكرة,بسكرة,بسكرة,34.84755,5.72622,Maghrib,المغرب,فاس
قبيشة,قبيشة,قبيشة,34.83148,10.68123,Maghrib,المغرب,فاس
وليلة,وليلة,وليلة,34.09883,-5.60437,Maghrib,المغرب,طنجة
غزة,غزة,غزة,35.06747,-1.92701,Maghrib,المغرب,طنجة
غزة,غزة,غزة,31.49664,34.45664,Sham,المغرب,طنجة
الحاجر,حجر صالح,الحجر,26.86125,37.93999,Jazirat al-Arab,المغرب,طنجة
الحاجر,الحاجر,الحاجر,25.9691,41.75129,Jazirat al-Arab,المغرب,طنجة
الحاجر,الحجر,الحجر,24.64352,46.73212,Jazirat al-Arab,المغرب,طنجة
البيضاء,البيضاء,البيضاء,41.83632,0.57785,Andalus,المغرب,طنجة
البيضاء,البيضاء,البيضاء/ نسا,30.03958,52.36712,Faris,المغرب,طنجة
البيضاء,البيضاء,البيضاء,26.79044,37.01435,Jazirat al-Arab,المغرب,طنجة
أرجان,أراجان,أراجان,30.6103,50.29766,Faris,فارس,أرجان
أرجان,أرجمان,أرجمان,31.1799,52.62743,Faris,فارس,أرجان
أرجان,آباذة,أرجمان,31.1643,52.66127,Faris,فارس,أرجان
قوستان,قوهستان,قوهستان,33.77051,59.44592,Khurasan,فارس,أرجان
داريان,داريان,داريان,29.54062,52.92548,Faris,فارس,أرجان
داريان,دارين,دارين,26.28437,50.19373,Jazirat al-Arab,فارس,أرجان
داريان,داريا,داريا,33.46544,36.23184,Sham,فارس,أرجان
مهربان,مهروبان,مهروبان,30.06436,50.21436,Faris,فارس,أرجان
جنابة,جنابة,جنابة,29.60089,50.53898,Faris,فارس,أرجان
سينيز,سينيز,سينيز/ شينيز,29.92283,50.27838,Faris,فارس,أرجان
هندوان,هندوان,هندوان/ هنديجان,30.25118,49.70675,Faris,فارس,أرجان
هندوان,هندوجان,هندوجان/ هنديجان,29.39151,51.30074,Faris,فارس,أرجان
سيراف,سيراف,سيراف,27.69666,52.34306,Faris,فارس,أردشيرخره
جور,جور,جور/ بيروزاباذ,28.84797,52.58324,Faris,فارس,أردشيرخره
ميمند,ميمند,ميمند,28.88488,52.85141,Faris,فارس,أردشيرخره
نابند,نابند,نابند,27.34352,52.64171,Faris,فارس,أردشيرخره
نابند,نابند,نابند,32.33053,57.58788,Mafaza,فارس,أردشيرخره
الصيمكان,الصيمكان,الصيمكان,28.69941,53.13182,Faris,فارس,أردشيرخره
خبر,خبر,خبر,28.76436,53.27732,Faris,فارس,أردشيرخره
خبر,خبر,خبر,28.85863,56.31341,Kirman,فارس,أردشيرخره
خورستان,خورستان,خورستان/ سروستان,29.25713,53.20589,Faris,فارس,أردشيرخره
خورستان,خورستان,خورستان,29.95166,54.09036,Faris,فارس,أردشيرخره
الغندجان,الغندجان,الغندجان,29.22327,51.26065,Faris,فارس,أردشيرخره
كران,كران,كران,27.76342,52.86193,Faris,فارس,أردشيرخره
نجيرم,نجيرم,نجيرم,28.49687,51.12283,Faris,فارس,أردشيرخره
سورو,سورو,سورو,27.19067,56.21348,Faris,فارس,أردشيرخره
درابجرد,درابجرد,درابجرد,28.75143,54.54591,Faris,فارس,درابجرد
طبستان,طبرستان,طبرستان,36.34732,52.60329,Daylam,فارس,درابجرد
طبستان,طبستان,طبستان/ طمستان/ طمارستان,28.94971,53.81699,Faris,فارس,درابجرد
كرم,كرم,كرم,29.07233,53.608,Faris,فارس,درابجرد
يزدخواست,يزدخواست,يزدخواست,28.33754,54.43137,Faris,فارس,درابجرد
كدروا,كدروا,كدروا,29.16368,54.67346,Faris,فارس,درابجرد
خيار,خيار,خيار/ خير/ خيرة,29.25944,53.93868,Faris,فارس,نيريز
المريزجان,المريزجان,المريزجان,28.80847,54.39753,Faris,فارس,نيريز
الماذوان,الماذون,الماذون,28.72175,54.29861,Faris,فارس,نيريز
روبنج,روبنج,روبنج,28.5161,54.40794,Faris,فارس,خسو
فرج,فرج,فرج,28.31921,55.16805,Faris,فارس,خسو
تارم,تارم,تارم/ تارم,28.18163,55.80841,Faris,فارس,خسو
شيراز,شيراز,شيراز,29.61884,52.52867,Faris,فارس,شيراز
البيضاء,البيضاء,البيضاء,41.83632,0.57785,Andalus,فارس,شيراز
البيضاء,البيضاء,البيضاء/ نسا,30.03958,52.36712,Faris,فارس,شيراز
البيضاء,البيضاء,البيضاء,26.79044,37.01435,Jazirat al-Arab,فارس,شيراز
فسا,فسا,فسا,28.92193,53.63181,Faris,فارس,شيراز
جور,جور,جور/ بيروزاباذ,28.84797,52.58324,Faris,فارس,شيراز
كارزين,كارزن,كارزن,28.40599,53.11293,Faris,فارس,شيراز
دشت بارين,دشت بارين,دشت بارين,29.28011,51.26816,Faris,فارس,شيراز
دشت بارين,دشت برين,دشت برين,28.40625,56.1416,Kirman,فارس,شيراز
جم,جم,جم,27.8168,52.39133,Faris,فارس,شيراز
كورد,كورد,كورد/ كورد,30.69092,51.9324,Faris,فارس,شيراز
هزار,هزار,هزار/ أزار سابور,29.94029,52.49428,Faris,فارس,شيراز
شهرستان,شهرستان,شهرستان/ جرجان,37.19091,55.206,Daylam,فارس,سابور
شهرستان,شهرستان,شهرستان/ سابور,29.83157,51.51624,Faris,فارس,سابور
شهرستان,سابور,شهرستان,29.83157,51.51624,Faris,فارس,سابور
دريز,دريز,دريز,29.66188,51.54129,Faris,فارس,سابور
كازرون,كازرون,كازرون,29.60743,51.68412,Faris,فارس,سابور
كاريان,كاريان,كاريان,28.05935,53.70323,Faris,فارس,سابور
توز,توز,توز/ توج !,29.44172,51.03513,Faris,فارس,سابور
توز,توز,توز/ توج !,29.42208,51.17294,Faris,فارس,سابور
توز,توز,توز,26.71435,42.29198,Jazirat al-Arab,فارس,سابور
خشت,خشت,خشت,29.54859,51.30575,Faris,فارس,سابور
خشت,خشت,خشت/ خست/ خاست/ خوشت,34.34906,63.94658,Khurasan,فارس,سابور
خشت,خاش,خشت,41.02958,70.53285,Transoxiana,فارس,سابور
هراة,هراة,هراة,30.11392,54.41315,Faris,فارس,إصطخر
هراة,هراة,هراة,34.33419,62.15235,Khurasan,فارس,إصطخر
هراة,هراة,هراة,34.33419,62.15235,Khurasan,فارس,إصطخر
ميبذ,ميبذ,ميبذ,32.27744,53.98932,Faris,فارس,إصطخر
الحيرة,الحيرة,الحيرة,32.01734,44.37232,Iraq,فارس,إصطخر
فاروق,فاروق,فاروق,29.97467,53.06569,Faris,فارس,إصطخر
سروستان,سرويستان,سرويستان/ سرورير,31.42233,52.43219,Faris,فارس,إصطخر
سروستان,خورستان,سروستان,29.25713,53.20589,Faris,فارس,إصطخر
سروستان,سرويستان,سرويستان,29.27422,57.89378,Kirman,فارس,إصطخر
أورد,أورد,أورد,30.77818,51.99227,Faris,فارس,إصطخر
الرون,الرون,الرون,30.7491,52.44,Faris,فارس,إصطخر
الرون,قصر أعين,الرون,30.82066,52.44521,Faris,فارس,إصطخر
ده أشتران,ده أشتران,ده أشتران/ قرية الجمال,30.31412,55.70689,Faris,فارس,إصطخر
صاهه,صاهه,صاهه,36.10597,60.18929,Khurasan,فارس,إصطخر
شبابك,شابابك,شابابك/ شاباوك/ شهرباباك,30.13418,55.05872,Faris,فارس,إصطخر
حلب,حلب,حلب,36.19828,37.17518,Sham,الشام,قنسرين
أنطاكية,أنطاكية,أنطاكية,36.19718,36.18418,Sham,الشام,قنسرين
بالس,بالس,بالس,36.02806,38.09005,Sham,الشام,قنسرين
بالس,بالش,بالس,29.64265,67.65738,Sijistan,الشام,قنسرين
السويدية,السويداء,السويدية,25.04884,39.03019,Jazirat al-Arab,الشام,قنسرين
السويدية,السويدية,السويدية,36.0896,35.99387,Sham,الشام,قنسرين
سميساط,سميساط,سميساط,37.54334,38.54365,Aqur,الشام,قنسرين
منبج,منبج,منبج,36.54651,37.98957,Aqur,الشام,قنسرين
قنسرين,قنسرين,قنسرين,35.99617,37.02701,Sham,الشام,قنسرين
مرعش,مرعش,مرعش,37.58314,36.92987,Aqur,الشام,قنسرين
إسكندرونة,إسكندرونة,إسكندرونة/ إسكندريية,36.57473,36.19234,Sham,الشام,قنسرين
رفنية,رفنية,رفنية,34.93133,36.41054,Sham,الشام,قنسرين
جوسية,جوسية,جوسية,34.44699,36.56409,Sham,الشام,قنسرين
حماة,حماة,حماة,35.12587,36.76872,Sham,الشام,قنسرين
شيزر,شيزر,شيزر,35.25585,36.55938,Sham,الشام,قنسرين
